ingredient_name_en,ingredient_name_ja,ingredient_family,production_volume_level,production_volume_note,price_level,cultivation_ease,satiety_basis,calories_kcal_per_100g_basic,calorie_basis,storage_duration,storage_method,representative_staples,source_url,confidence,note
millet,キビ,"grain, grain_legume",medium_high,important_dryland_cereal; see FAOSTAT,low,high,starchy staple ingredient,119,cooked grain/porridge,long,dry grain airtight,"Bhakri, Jianbing, Kasha, Millet porridge, Tô, Ugali",https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
mung dal,,grain_legume,regional,regional_or_mixed_ingredient; needs review,medium,medium,starchy staple ingredient,,varies,medium,depends on preparation,Pongal,https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
noodles,,grain,regional,regional_or_mixed_ingredient; needs review,medium,medium,starchy staple ingredient,,varies,medium,depends on preparation,Khao soi,https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
oats,オーツ,grain,high,high_temperate_cereal; see FAOSTAT,medium,medium,starchy staple ingredient,71,cooked oatmeal,long,dry oats airtight,"Kasha, Oatmeal",https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
oca,,tuber,regional,regional_or_mixed_ingredient; needs review,medium,medium,starchy staple ingredient,,varies,medium,depends on preparation,Oca tubers,https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
others,,grain,regional,regional_or_mixed_ingredient; needs review,medium,medium,starchy staple ingredient,,varies,medium,depends on preparation,"Bread, Kasha",https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
pigeon peas,,grain_legume,regional,regional_or_mixed_ingredient; needs review,medium,medium,starchy staple ingredient,,varies,medium,depends on preparation,Arroz con gandules,https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
plantain,プランテン,"fruit_starch, root_fruit",medium_high,important_tropical_starch_fruit; see FAOSTAT bananas/plantains,medium,medium,starchy staple ingredient,122,cooked plantain,short_medium,room temp until ripe; cooked short,"Aloco, Boiled green banana, Fufu, Kelewele, Matoke, Mofongo, Pastelon, Plantain staple",https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
potato,ジャガイモ,"grain_tuber, legume_root, pseudocereal, tuber, tuber_grain",very_high,very_high_root_crop; see FAOSTAT,low,medium,starchy staple ingredient,87,boiled tuber,medium,cool dark ventilated place,"Aloo paratha, Baked potato, Boxty, Bubble and squeak, Colcannon, French fries, Glass noodles, Gnocchi",https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
pulses,,legume,regional,regional_or_mixed_ingredient; needs review,medium,medium,starchy staple ingredient,,varies,medium,depends on preparation,Dal,https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
quinoa,キヌア,pseudocereal,regional,regional_pseudocereal; Andes/global,medium_high,medium,starchy staple ingredient,120,cooked grain,long,dry grain airtight,Quinoa,https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
rice,米,"animal_grain, grain, grain_legume, legume_grain",very_high,very_high_global_crop; see FAOSTAT,medium,medium,starchy staple ingredient,130,cooked,medium,dry grain in airtight container,"Appam, Arancini, Arroz con gandules, Banh cuon, Banh xeo, Basmati rice, Bibimbap, Bibingka",https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
roasted gram,,grain_legume,regional,regional_or_mixed_ingredient; needs review,medium,medium,starchy staple ingredient,,varies,medium,depends on preparation,"Litti, Sattu paratha",https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
rye,ライ麦,grain,needs_review,temperate_cereal; see FAOSTAT,medium,medium,starchy staple ingredient,259,rye bread average,long,dry grain/bread varies,"Bread, Crispbread, Karelian pasty, Rye bread",https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
sago,サゴ,palm_starch,regional,regional_palm_starch,medium,medium,starchy staple ingredient,355,dry starch,long,dry starch airtight,"Sago pancake, Sago porridge",https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
sometimes other grains,,grain,regional,regional_or_mixed_ingredient; needs review,medium,medium,starchy staple ingredient,,varies,medium,depends on preparation,Injera,https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
sorghum,ソルガム,grain,medium_high,important_dryland_cereal; see FAOSTAT,low,high,starchy staple ingredient,120,cooked grain/porridge,long,dry grain airtight,"Aseeda, Bhakri, Kisra, Lahoh, Sorghum porridge, Tô, Ugali",https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
sweet potato,サツマイモ,tuber,high,high_root_crop; see FAOSTAT,low,medium_high,starchy staple ingredient,90,boiled tuber,medium,cool dark place,"Japchae, Kaukau, Kumara, Sweet potato staple",https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
taro,タロイモ,"root_fruit, tuber, tuber_fruit",medium_high,important_regional_tuber; see FAOSTAT,medium,medium,starchy staple ingredient,112,boiled tuber,medium,cool dry place,"Laplap, Palusami, Poi, Taro pudding, Taro staple",https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
teff,テフ,grain,regional,regional_cereal; Ethiopia/Eritrea focus,medium_high,medium,starchy staple ingredient,101,cooked injera/porridge average,medium_long,dry grain/flour airtight,"Injera, Teff porridge",https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
ulluco,,tuber,regional,regional_or_mixed_ingredient; needs review,medium,medium,starchy staple ingredient,,varies,medium,depends on preparation,Ulluco,https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
wheat,小麦,"grain, grain_legume, grain_tuber, legume_grain, pseudocereal, tuber_grain",very_high,very_high_global_crop; see FAOSTAT,low,medium,starchy staple ingredient,260,bread/cooked average,long,dry flour/grain airtight,"Aloo paratha, American biscuits, Aseeda, Bagel, Baghrir, Baguette, Bakso noodles, Baleada",https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
yam,ヤム,"root_fruit, tuber",medium_high,important_tropical_tuber; see FAOSTAT,medium,medium,starchy staple ingredient,116,boiled tuber,medium,cool dry ventilated place,"Amala, Fufu, Laplap, Pounded yam, Yam staple",https://www.fao.org/faostat/; https://fdc.nal.usda.gov/,0.40,Qualitative starter ingredient metric; verify against FAOSTAT/FoodData Central/crop-specific sources.
