id,name_ja,name_en,local_name,ingredient_family,base_ingredients,form,shape,processing,cooking_method,fermented,texture,region,country_area,served_with,staple_level,search_keywords,similar_foods,notes,source_url,confidence,review_status,production_volume_note,price_level,cultivation_ease,satiety_level,calories_kcal_per_100g,calorie_basis,deliciousness_level,sweetness_level,taste_profile,storage_duration,storage_method,popularity_level,metrics_source_url,metrics_confidence,metrics_note
11,ドーサ,Dosa,Dosa,grain_legume,"rice, urad dal",crepe/flatbread,薄焼き,"浸水, 挽く, 発酵",焼く,true,薄い/軽い/酸味,South Asia,"South India, Sri Lanka","サンバル, チャツネ",primary_breakfast,"米,豆,発酵,薄焼き,南インド","イドゥリ,アッパム",発酵生地を薄く焼く,https://en.wikipedia.org/wiki/Staple_food,0.68,starter,very_high_global_crop; see FAOSTAT,medium,medium,medium,230,prepared flatbread average,subjective_medium_high,low,"fermented, sour, toasty",short_to_medium,room temperature short term; freeze for longer storage,high_regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
12,アッパム,Appam,Appam,grain,"rice, coconut",pancake,薄焼き/中央ふわり,"米粉化, 発酵",焼く,true,縁は薄く中央は柔らかい,South Asia,"South India, Sri Lanka","カレー, ココナッツミルク",primary_or_common,"米,発酵,薄焼き,ココナッツ","ドーサ,イドゥリ",米ベースの発酵パンケーキ,https://en.wikipedia.org/wiki/Staple_food,0.62,starter,very_high_global_crop; see FAOSTAT,medium,medium,medium,230,prepared flatbread average,subjective_medium_high,low,"fermented, toasty",medium,dry grain in airtight container,high_regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
13,パン,Bread,,grain,"wheat, rye, barley, others",bread,塊/スライス,"製粉, 練る, 発酵",焼く,true,ふわふわ/硬い/多様,Global,"Europe, Middle East, Americas, Global","バター, チーズ, スープ, 肉",primary_staple,"小麦,パン,焼く,発酵","ナン,ロティ,ピタ,バゲット",世界各地の主食。地域により素材・形態が多様,https://www.fao.org/4/U8480E/U8480E07.htm,0.9,starter,very_high_global_crop; see FAOSTAT,low,medium,high,260,prepared bread average,subjective_medium_high,low,"fermented, toasty",short_to_medium,room temperature short term; freeze for longer storage,global_common,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
14,フォカッチャ,Focaccia,Focaccia,grain,wheat,flatbread,平たいパン,"製粉, 練る, 発酵",焼く,true,柔らかい/油分,Europe,Italy,"オリーブオイル, ソース",common_side,"小麦,平たいパン,イタリア,焼く","パン,ピタ",明治ページでイタリアのパン例として紹介,https://www.meiji.co.jp/meiji-shokuiku/worldculture/staplefood/,0.86,starter,very_high_global_crop; see FAOSTAT,low,medium,high,260,prepared bread average,subjective_medium,low,"fermented, toasty",short_to_medium,room temperature short term; freeze for longer storage,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
15,グリッシーニ,Breadsticks,Grissini,grain,wheat,breadstick,細長い棒状,"製粉, 練る, 発酵",焼く,true,カリッと/細い,Europe,Italy,"前菜, 食事の添え物",common_side,"小麦,棒状,イタリア,パン","パン,クラッカー",明治ページでイタリアのパン例として紹介,https://www.meiji.co.jp/meiji-shokuiku/worldculture/staplefood/,0.85,starter,very_high_global_crop; see FAOSTAT,low,medium,high,260,prepared bread average,subjective_medium,low,"fermented, toasty",short_to_medium,room temperature short term; freeze for longer storage,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
16,バゲット,Baguette,Baguette,grain,wheat,bread,細長いパン,"製粉, 練る, 発酵",焼く,true,外は硬い/中は柔らかい,Europe,France,"チーズ, バター, スープ",primary_or_common,"小麦,パン,フランス,細長い","パン,ケニエル",フランスを代表するパン,https://en.wikipedia.org/wiki/Staple_food,0.64,starter,very_high_global_crop; see FAOSTAT,low,medium,high,260,prepared bread average,subjective_medium_high,low,"fermented, toasty",short_to_medium,room temperature short term; freeze for longer storage,high_regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
17,ライ麦パン,Rye bread,Rugbrød/Rye bread,grain,rye,bread,塊/スライス,"製粉, 発酵",焼く,true,密度高い/酸味,Europe,"Nordic, Baltic, Eastern Europe","バター, 魚, チーズ",primary_staple,"ライ麦,パン,北欧,酸味","パン,カーシャ",北欧・東欧などで主食性が高い,https://en.wikipedia.org/wiki/Staple_food,0.67,starter,temperate_cereal; see FAOSTAT,medium,medium,high,260,prepared bread average,subjective_medium_high,low,"fermented, sour, toasty",short_to_medium,room temperature short term; freeze for longer storage,high_regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
18,ケニエル,Hungarian bread,Kenyér,grain,wheat,bread,大きいパン,"製粉, 練る, 発酵",焼く,true,ふわふわ,Europe,Hungary,"スープ, 肉料理",primary_staple,"小麦,パン,ハンガリー,大きい","パン,バゲット",明治ページでハンガリーの主食パン例として紹介,https://www.meiji.co.jp/meiji-shokuiku/worldculture/staplefood/,0.86,starter,very_high_global_crop; see FAOSTAT,low,medium,high,260,prepared bread average,subjective_medium_high,low,"fermented, toasty",short_to_medium,room temperature short term; freeze for longer storage,high_regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
19,キフリ,Kifli,Kifli,grain,wheat,roll,三日月形,"製粉, 練る, 発酵",焼く,true,柔らかい,Europe,"Hungary, Central Europe","朝食, 食事の添え物",common_side,"小麦,三日月形,ハンガリー,パン","クロワッサン,ジェムレ",明治ページでハンガリーのパン例として紹介,https://www.meiji.co.jp/meiji-shokuiku/worldculture/staplefood/,0.82,starter,very_high_global_crop; see FAOSTAT,low,medium,medium,260,bread/cooked average,subjective_medium,low,"fermented, toasty",short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
20,ポガーチャ,Pogácsa,Pogácsa,grain,wheat,small bread/scone,丸い小型,"製粉, 練る",焼く,false,さっくり/密度あり,Europe,"Hungary, Balkans","携帯食, 軽食",common_or_travel_food,"小麦,丸い,ハンガリー,携帯食","スコーン,パン",明治ページでハンガリーのパン例として紹介,https://www.meiji.co.jp/meiji-shokuiku/worldculture/staplefood/,0.82,starter,very_high_global_crop; see FAOSTAT,low,medium,high,260,prepared bread average,subjective_medium,low,"mild, toasty",short_to_medium,room temperature short term; freeze for longer storage,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
21,ナン,Naan,Naan,grain,wheat,flatbread,楕円/細長い,"製粉, 練る, 発酵",窯焼き/焼く,true,もちっと/柔らかい,South Asia,"North India, Pakistan, Central Asia",カレー,primary_or_common,"小麦,発酵,焼く,インド,パン","ロティ,チャパティ,ピタ",北インドの小麦パン例として明治ページで紹介,https://www.meiji.co.jp/meiji-shokuiku/worldculture/staplefood/,0.9,starter,very_high_global_crop; see FAOSTAT,low,medium,high,260,prepared bread average,subjective_medium_high,low,"fermented, toasty",short_to_medium,room temperature short term; freeze for longer storage,high_regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
22,チャパティ,Chapati,Chapati,grain,wheat,flatbread,薄焼き,"製粉, 練る",焼く,false,薄い/柔らかい,South Asia,"India, Pakistan, Nepal","カレー, ダル",primary_staple,"小麦,薄焼き,無発酵,インド","ロティ,ナン,プーリー",北インドの主食例として明治ページで紹介,https://www.meiji.co.jp/meiji-shokuiku/worldculture/staplefood/,0.92,starter,very_high_global_crop; see FAOSTAT,low,medium,high,260,prepared bread average,subjective_medium_high,low,"mild, toasty",short_to_medium,room temperature short term; freeze for longer storage,high_regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
23,ロティ,Roti,Roti,grain,wheat,flatbread,薄焼き,"製粉, 練る",焼く,false,薄い/柔らかい,South Asia/Caribbean,"India, Pakistan, Caribbean","カレー, ダル, 肉料理",primary_staple,"小麦,薄焼き,ロティ,インド","チャパティ,ナン",小麦の薄焼きパンの総称的にも使われる,https://en.wikipedia.org/wiki/Staple_food,0.76,starter,very_high_global_crop; see FAOSTAT,low,medium,high,260,prepared bread average,subjective_medium_high,low,"mild, toasty",short_to_medium,room temperature short term; freeze for longer storage,high_regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
24,プーリー,Puri,Puri,grain,wheat,fried bread,丸い薄揚げパン,"製粉, 練る",揚げる,false,膨らむ/油分,South Asia,India,"カレー, 豆料理",common_or_festive,"小麦,揚げる,インド,丸い","チャパティ,ロティ",チャパティを油で揚げたものとして明治ページで紹介,https://www.meiji.co.jp/meiji-shokuiku/worldculture/staplefood/,0.88,starter,very_high_global_crop; see FAOSTAT,low,medium,high,260,prepared bread average,subjective_medium,low,mild,short_to_medium,room temperature short term; freeze for longer storage,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
25,ピタ,Pita,Pita,grain,wheat,pocket flatbread,丸い薄焼き,"製粉, 練る, 発酵",焼く,true,ポケット状/柔らかい,Middle East/Mediterranean,"Levant, Greece, Middle East","具を挟む, ディップ",primary_or_common,"小麦,中東,平たい,挟む","ラヴァシュ,ナン,トルティーヤ",中東・地中海の薄焼きパン,https://en.wikipedia.org/wiki/Staple_food,0.65,starter,very_high_global_crop; see FAOSTAT,low,medium,high,260,prepared bread average,subjective_medium_high,low,"fermented, toasty",short_to_medium,room temperature short term; freeze for longer storage,high_regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
26,ラヴァシュ,Lavash,Lavash,grain,wheat,flatbread,非常に薄い,"製粉, 練る",焼く,false,薄い/しなやか,Caucasus/West Asia,"Armenia, Azerbaijan, Iran, Turkey","巻く, 添える",primary_staple,"小麦,薄い,コーカサス,巻く","ピタ,トルティーヤ,ロティ",カフカス周辺の薄いパン,https://en.wikipedia.org/wiki/Staple_food,0.66,starter,very_high_global_crop; see FAOSTAT,low,medium,high,260,prepared bread average,subjective_medium_high,low,"mild, toasty",short_to_medium,room temperature short term; freeze for longer storage,high_regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
27,パスタ,Pasta,Pasta,grain,durum wheat/wheat,noodle/pasta,多様な麺,"製粉, 練る, 成形, 乾燥",茹でる,false,弾力/アルデンテ,Europe,"Italy, Global","ソース, チーズ",primary_or_common,"小麦,麺,イタリア,茹でる,ソース","うどん,中華麺,クスクス",イタリアの代表的な小麦加工食品。主食はパンとの説明もあり,https://www.meiji.co.jp/meiji-shokuiku/worldculture/staplefood/,0.84,starter,high_global_crop; see FAOSTAT wheat,medium,medium,medium,150,cooked noodle/pasta average,subjective_medium_high,low,mild,short_prepared,eat fresh or refrigerate cooked portions,global_common,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
28,うどん,Udon,Udon,grain,wheat,noodle,太麺,"製粉, 練る, 成形",茹でる,false,もちもち/太い,East Asia,Japan,"だし, つゆ, 具材",primary_or_common,"小麦,麺,日本,太い,茹でる","ラーメン,そうめん,パスタ",日本の小麦麺,https://en.wikipedia.org/wiki/Staple_food,0.7,starter,very_high_global_crop; see FAOSTAT,low,medium,medium,150,cooked noodle/pasta average,subjective_medium_high,low,mild,short_prepared,eat fresh or refrigerate cooked portions,high_regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
29,ラーメン,Ramen,Ramen,grain,wheat,noodle,中華麺,"製粉, かん水, 成形",茹でる,false,弾力/黄色い,East Asia,"Japan, China-derived","スープ, 具材",common_meal,"小麦,麺,スープ,日本,中華麺","うどん,ラグマン",日本では主食的に食べられる麺料理,https://en.wikipedia.org/wiki/Staple_food,0.65,starter,very_high_global_crop; see FAOSTAT,low,medium,medium,150,cooked noodle/pasta average,subjective_medium,low,mild,short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
30,クスクス,Couscous,Couscous,grain,wheat semolina,granule pasta,粒状,セモリナ粒化,蒸す,false,小粒/ほぐれる,North Africa,"Morocco, Algeria, Tunisia","煮込み, 野菜, 肉",primary_staple,"小麦,粒,北アフリカ,蒸す","ブルグル,ポレンタ",北アフリカの代表的な主食,https://en.wikipedia.org/wiki/Staple_food,0.7,starter,very_high_global_crop; see FAOSTAT,low,medium,medium,150,cooked noodle/pasta average,subjective_medium_high,low,mild,short_prepared,eat fresh or refrigerate cooked portions,high_regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
31,ブルグル,Bulgur,Bulgur,grain,wheat,cracked grain,挽き割り粒,"茹でる, 乾燥, 砕く",戻す/煮る,false,粒状/噛み応え,Middle East,"Turkey, Levant","サラダ, 煮込み",primary_or_common,"小麦,挽き割り,中東,粒","クスクス,カーシャ",加工小麦の主食・副食,https://en.wikipedia.org/wiki/Staple_food,0.6,starter,very_high_global_crop; see FAOSTAT,low,medium,medium,260,bread/cooked average,subjective_medium_high,low,mild,short_prepared,eat fresh or refrigerate cooked portions,high_regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
32,マントウ,Mantou,Mantou,grain,wheat,steamed bread,丸/楕円の蒸しパン,"製粉, 練る, 発酵",蒸す,true,ふわふわ,East Asia,Northern China,"おかず, スープ",primary_staple,"小麦,蒸しパン,中国北部","饅頭,ナン",中国北部の小麦主食例として明治ページで紹介,https://www.meiji.co.jp/meiji-shokuiku/worldculture/staplefood/,0.89,starter,very_high_global_crop; see FAOSTAT,low,medium,high,260,prepared bread average,subjective_medium_high,low,fermented,short_to_medium,room temperature short term; freeze for longer storage,high_regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
33,トルティーヤ,Tortilla,Tortilla,grain,maize or wheat,flatbread,薄い円形,"ニシュタマリゼーション/製粉, 練る",焼く,false,薄い/しなやか,Mesoamerica,"Mexico, Central America","具を包む, ソース",primary_staple,"とうもろこし,薄焼き,メキシコ,包む,タコス","ロティ,ピタ,ラヴァシュ",明治ページでメキシコの主食として紹介,https://www.meiji.co.jp/meiji-shokuiku/worldculture/staplefood/,0.93,starter,very_high_global_crop; see FAOSTAT,low,medium_high,high,230,prepared flatbread average,subjective_medium_high,low,"mild, toasty",short_to_medium,room temperature short term; freeze for longer storage,high_regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
34,タマレス,Tamales,Tamal,grain,maize,steamed dough parcel,包み蒸し,"ニシュタマリゼーション, 練る, 包む",蒸す,false,柔らかい/密度あり,Mesoamerica,"Mexico, Central America","肉, チリ, ソース",primary_or_festive,"とうもろこし,包む,蒸す,メキシコ","トルティーヤ,ププサ",とうもろこし生地を包んで蒸す,https://en.wikipedia.org/wiki/Staple_food,0.64,starter,very_high_global_crop; see FAOSTAT,low,medium_high,medium,110,cooked maize product,subjective_medium_high,low,mild,short_prepared,eat fresh or refrigerate cooked portions,high_regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
35,アレパ,Arepa,Arepa,grain,maize,corn cake,丸い厚焼き,"製粉, 練る",焼く/揚げる,false,外は焼き目/中は柔らかい,South America,"Venezuela, Colombia","チーズ, 肉, 豆",primary_staple,"とうもろこし,厚焼き,南米,丸い","トルティーヤ,ププサ",南米北部のとうもろこし主食,https://en.wikipedia.org/wiki/Staple_food,0.67,starter,very_high_global_crop; see FAOSTAT,low,medium_high,medium,260,fried prepared food estimate,subjective_medium_high,low,"mild, toasty",long,dry grain/flour airtight,high_regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
36,ププサ,Pupusa,Pupusa,grain,maize,stuffed flatbread,厚い円形,"製粉, 練る, 詰める",焼く,false,もちっと/具入り,Central America,"El Salvador, Honduras","チーズ, 豆, カーティード",primary_staple,"とうもろこし,具入り,焼く,エルサルバドル","アレパ,トルティーヤ",中米のとうもろこし主食,https://en.wikipedia.org/wiki/Staple_food,0.65,starter,very_high_global_crop; see FAOSTAT,low,medium_high,high,230,prepared flatbread average,subjective_medium_high,low,"mild, toasty",short_to_medium,room temperature short term; freeze for longer storage,high_regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
37,ポレンタ,Polenta,Polenta,grain,maize,porridge,粥/固めた塊,粗挽き,煮る,false,柔らかい/固められる,Europe,"Italy, Balkans","煮込み, チーズ",primary_or_common,"とうもろこし,粥,イタリア,煮る","グリッツ,ウガリ",とうもろこし粥・固めた主食,https://en.wikipedia.org/wiki/Staple_food,0.65,starter,very_high_global_crop; see FAOSTAT,low,medium_high,medium,80,cooked porridge average,subjective_medium_high,low,mild,short_prepared,eat fresh or refrigerate cooked portions,high_regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
38,グリッツ,Grits,Grits,grain,maize,porridge,粥,粗挽き,煮る,false,クリーミー/粒状,North America,Southern United States,"バター, チーズ, 卵",common_breakfast,"とうもろこし,粥,アメリカ南部","ポレンタ,ウガリ",米国南部のとうもろこし粥,https://en.wikipedia.org/wiki/Staple_food,0.62,starter,very_high_global_crop; see FAOSTAT,low,medium_high,medium,80,cooked porridge average,subjective_medium,low,mild,short_prepared,eat fresh or refrigerate cooked portions,regional,https://fdc.nal.usda.gov/; https://www.fao.org/faostat/; https://www.fao.org/giews/food-prices/price-tool/en/,0.45,"Coarse starter estimate. Verify calories, prices, production and storage before product use."
